time,Open,High,Low,Close
2025-02-21 01:00:00,1.04902,1.04934,1.04845,1.04868
2025-02-21 02:00:00,1.04869,1.05032,1.04864,1.05027
2025-02-21 03:00:00,1.05028,1.05047,1.04995,1.05026
2025-02-21 04:00:00,1.05028,1.0505,1.04974,1.04991
2025-02-21 05:00:00,1.0499,1.05008,1.04916,1.0493
2025-02-21 06:00:00,1.0493,1.04942,1.04878,1.04887
2025-02-21 07:00:00,1.04889,1.04997,1.04889,1.04922
2025-02-21 08:00:00,1.04922,1.04943,1.0468,1.04766
2025-02-21 09:00:00,1.04769,1.04812,1.04667,1.04692
2025-02-21 10:00:00,1.04694,1.04722,1.04647,1.04652
2025-02-21 11:00:00,1.04652,1.0474,1.04633,1.04693
2025-02-21 12:00:00,1.04692,1.04712,1.04594,1.04619
2025-02-21 13:00:00,1.0462,1.0478,1.04614,1.04752
2025-02-21 14:00:00,1.04753,1.04928,1.04702,1.0481
2025-02-21 15:00:00,1.04811,1.04862,1.04526,1.04541
2025-02-21 16:00:00,1.04542,1.04579,1.04494,1.04546
2025-02-21 17:00:00,1.04548,1.04646,1.0452,1.04631
2025-02-21 18:00:00,1.0463,1.0468,1.04509,1.04598
2025-02-21 19:00:00,1.04598,1.04666,1.04573,1.04622
2025-02-21 20:00:00,1.04619,1.04646,1.04574,1.04608
2025-02-21 21:00:00,1.04607,1.04634,1.04588,1.04608
2025-02-23 22:00:00,1.0469,1.04844,1.04618,1.04756
2025-02-23 23:00:00,1.04752,1.04849,1.04714,1.04741
2025-02-24 00:00:00,1.0474,1.05076,1.04718,1.05044
2025-02-24 01:00:00,1.05044,1.0521,1.05024,1.0518
2025-02-24 02:00:00,1.0518,1.05284,1.05156,1.05228
2025-02-24 03:00:00,1.05229,1.05258,1.05165,1.05196
2025-02-24 04:00:00,1.05196,1.05209,1.05113,1.05156
2025-02-24 05:00:00,1.05156,1.05198,1.05102,1.05164
2025-02-24 06:00:00,1.05164,1.05164,1.05011,1.0509
