time,Open,High,Low,Close
2008-04-19 21:00:00,1.58174,1.58174,1.58025,1.5806
2008-04-20 21:00:00,1.5806,1.59474,1.57905,1.59122
2008-04-21 21:00:00,1.59124,1.60194,1.58346,1.59914
2008-04-22 21:00:00,1.59928,1.60036,1.58604,1.58896
2008-04-23 21:00:00,1.589,1.58974,1.56386,1.5682
2008-04-24 21:00:00,1.5681,1.57072,1.55556,1.56302
2008-04-25 21:00:00,1.5627,1.5627,1.5627,1.5627
2008-04-26 21:00:00,1.5625,1.563,1.56085,1.5613
2008-04-27 21:00:00,1.5613,1.56932,1.55968,1.5658
2008-04-28 21:00:00,1.56578,1.56642,1.55404,1.55722
2008-04-29 21:00:00,1.55722,1.56444,1.55165,1.56226
2008-04-30 21:00:00,1.56216,1.56432,1.54308,1.54754
2008-05-01 21:00:00,1.54763,1.54984,1.53608,1.5424
2008-05-03 21:00:00,1.54175,1.54385,1.54145,1.54365
2008-05-04 21:00:00,1.54365,1.55192,1.5423,1.54968
2008-05-05 21:00:00,1.54972,1.55942,1.54528,1.55322
2008-05-06 21:00:00,1.55324,1.55392,1.53668,1.5392
2008-05-07 21:00:00,1.5392,1.54422,1.52852,1.53936
2008-05-08 21:00:00,1.53936,1.54894,1.53924,1.54829
2008-05-10 21:00:00,1.54859,1.54859,1.5449,1.54555
2008-05-11 21:00:00,1.54555,1.557,1.53658,1.5553
2008-05-12 21:00:00,1.55532,1.55664,1.54312,1.54742
2008-05-13 21:00:00,1.54744,1.54874,1.53966,1.54738
2008-05-14 21:00:00,1.54738,1.55464,1.54204,1.54476
2008-05-15 21:00:00,1.54476,1.56011,1.54364,1.55767
2008-05-17 21:00:00,1.5583,1.5597,1.55815,1.55935
2008-05-18 21:00:00,1.55935,1.56336,1.5486,1.55101
2008-05-19 21:00:00,1.55096,1.56816,1.55032,1.56459
2008-05-20 21:00:00,1.56459,1.57961,1.56318,1.57946
2008-05-21 21:00:00,1.57946,1.58136,1.56934,1.57342
2008-05-22 21:00:00,1.57342,1.5794,1.56968,1.57621
2008-05-24 21:00:00,1.57614,1.57756,1.57612,1.57677
2008-05-25 21:00:00,1.57677,1.57925,1.57419,1.577
2008-05-26 21:00:00,1.57698,1.5818,1.56822,1.56911
2008-05-27 21:00:00,1.56911,1.57604,1.56088,1.5638
2008-05-28 21:00:00,1.564,1.56642,1.5485,1.55186
2008-05-29 21:00:00,1.55186,1.5569,1.54622,1.55539
2008-05-31 21:00:00,1.55555,1.55805,1.5545,1.55665
2008-06-01 21:00:00,1.5566,1.5589,1.54868,1.5537
2008-06-02 21:00:00,1.55366,1.56284,1.54107,1.5444
2008-06-03 21:00:00,1.54442,1.54832,1.542,1.54404
2008-06-04 21:00:00,1.54404,1.56016,1.53654,1.5594
2008-06-05 21:00:00,1.55939,1.57781,1.55728,1.57777
2008-06-06 21:00:00,1.57802,1.57802,1.57802,1.57802
2008-06-07 21:00:00,1.57812,1.57912,1.57757,1.5782
2008-06-08 21:00:00,1.5782,1.58432,1.56192,1.56458
2008-06-09 21:00:00,1.56458,1.5654,1.54408,1.54672
2008-06-10 21:00:00,1.54668,1.55872,1.54498,1.55528
2008-06-11 21:00:00,1.55522,1.5566,1.53793,1.5439
2008-06-12 21:00:00,1.54386,1.5484,1.53038,1.53798
2008-06-13 21:00:00,1.53812,1.53812,1.53799,1.53807
2008-06-14 21:00:00,1.53865,1.54395,1.53835,1.54055
2008-06-15 21:00:00,1.54055,1.55192,1.5346,1.54776
2008-06-16 21:00:00,1.54776,1.55526,1.54608,1.55111
2008-06-17 21:00:00,1.55111,1.55378,1.54634,1.55347
2008-06-18 21:00:00,1.55343,1.55866,1.5467,1.55045
2008-06-19 21:00:00,1.55047,1.56512,1.54922,1.56069
2008-06-21 21:00:00,1.56078,1.56238,1.56068,1.56233
2008-06-22 21:00:00,1.56233,1.56368,1.54688,1.55178
2008-06-23 21:00:00,1.55172,1.56224,1.5492,1.5568
2008-06-24 21:00:00,1.55684,1.56868,1.55368,1.56667
2008-06-25 21:00:00,1.56657,1.57674,1.56282,1.57573
2008-06-26 21:00:00,1.57577,1.57943,1.57198,1.57943
2008-06-28 21:00:00,1.57896,1.57896,1.57739,1.57783
2008-06-29 21:00:00,1.57783,1.5836,1.57312,1.5756
2008-06-30 21:00:00,1.57554,1.5827,1.57232,1.57926
2008-07-01 21:00:00,1.5792,1.58884,1.57778,1.58823
2008-07-02 21:00:00,1.58827,1.59096,1.56821,1.57036
2008-07-03 21:00:00,1.57046,1.57272,1.56555,1.57094
2008-07-05 21:00:00,1.57027,1.57097,1.56972,1.56982
2008-07-06 21:00:00,1.56982,1.57534,1.56116,1.57256
2008-07-07 21:00:00,1.5726,1.57398,1.5636,1.56706
2008-07-08 21:00:00,1.5671,1.57498,1.56498,1.57428
2008-07-09 21:00:00,1.5743,1.58018,1.56918,1.57886
2008-07-10 21:00:00,1.57888,1.59474,1.57652,1.59383
2008-07-11 21:00:00,1.59374,1.59374,1.59374,1.59374
2008-07-12 21:00:00,1.59423,1.59735,1.59408,1.597
2008-07-13 21:00:00,1.59695,1.59727,1.58418,1.59076
2008-07-14 21:00:00,1.59082,1.60388,1.58658,1.59114
2008-07-15 21:00:00,1.59122,1.59486,1.5801,1.58266
2008-07-16 21:00:00,1.5826,1.58932,1.5784,1.5863
2008-07-17 21:00:00,1.5863,1.58876,1.58076,1.58477
2008-07-18 21:00:00,1.58477,1.58477,1.58477,1.58477
2008-07-19 21:00:00,1.58422,1.58447,1.58317,1.58427
2008-07-20 21:00:00,1.58437,1.59304,1.58287,1.59226
2008-07-21 21:00:00,1.59226,1.59452,1.57578,1.57832
2008-07-22 21:00:00,1.57832,1.57982,1.56708,1.5698
2008-07-23 21:00:00,1.5698,1.57144,1.56288,1.56776
2008-07-24 21:00:00,1.56776,1.57534,1.56626,1.57095
2008-07-26 21:00:00,1.5703,1.57119,1.5703,1.57095
2008-07-27 21:00:00,1.57095,1.57682,1.56846,1.57412
2008-07-28 21:00:00,1.57412,1.57582,1.5554,1.55882
2008-07-29 21:00:00,1.55882,1.56166,1.5522,1.55752
2008-07-30 21:00:00,1.55758,1.57,1.55695,1.56038
2008-07-31 21:00:00,1.56038,1.56043,1.55148,1.55634
2008-08-01 21:00:00,1.55639,1.55639,1.55639,1.55639
2008-08-02 21:00:00,1.55611,1.55682,1.55575,1.55658
2008-08-03 21:00:00,1.55668,1.56312,1.55546,1.55764
2008-08-04 21:00:00,1.55764,1.55788,1.5446,1.5454
2008-08-05 21:00:00,1.5454,1.55166,1.53984,1.5407
2008-08-06 21:00:00,1.5407,1.55028,1.5311,1.53252
2008-08-07 21:00:00,1.53252,1.53352,1.49978,1.50052
2008-08-09 21:00:00,1.50102,1.5019,1.49226,1.49315
2008-08-10 21:00:00,1.49304,1.5084,1.48804,1.4909
2008-08-11 21:00:00,1.4909,1.4964,1.48155,1.49258
2008-08-12 21:00:00,1.49258,1.49806,1.48432,1.49192
2008-08-13 21:00:00,1.49192,1.49494,1.47782,1.48258
2008-08-14 21:00:00,1.48258,1.48258,1.46592,1.46857
2008-08-16 21:00:00,1.46826,1.46845,1.46425,1.46764
2008-08-17 21:00:00,1.46764,1.4768,1.46701,1.46948
2008-08-18 21:00:00,1.46948,1.47932,1.46304,1.4775
2008-08-19 21:00:00,1.47754,1.48062,1.46728,1.47478
2008-08-20 21:00:00,1.47478,1.49038,1.47318,1.49
2008-08-21 21:00:00,1.49006,1.49084,1.47588,1.47931
2008-08-23 21:00:00,1.4783,1.47855,1.4776,1.4784
2008-08-24 21:00:00,1.4784,1.48088,1.46966,1.47546
2008-08-25 21:00:00,1.47546,1.47604,1.45718,1.46534
2008-08-26 21:00:00,1.46534,1.47772,1.46332,1.47274
2008-08-27 21:00:00,1.47274,1.48114,1.46722,1.4707
2008-08-28 21:00:00,1.47074,1.47674,1.46405,1.46735
2008-08-30 21:00:00,1.46955,1.4723,1.46815,1.46925
2008-08-31 21:00:00,1.4692,1.4718,1.4582,1.46181
2008-09-01 21:00:00,1.46181,1.46181,1.4467,1.45194
2008-09-02 21:00:00,1.45196,1.45317,1.43852,1.44983
2008-09-03 21:00:00,1.44983,1.45444,1.43156,1.43257
2008-09-04 21:00:00,1.43257,1.43489,1.41962,1.4268
2008-09-06 21:00:00,1.42717,1.43406,1.42657,1.43346
2008-09-07 21:00:00,1.4335,1.44295,1.4054,1.41296
2008-09-08 21:00:00,1.41296,1.42265,1.40474,1.4132
2008-09-09 21:00:00,1.4132,1.41792,1.39894,1.39985
2008-09-10 21:00:00,1.39985,1.40005,1.38829,1.39974
2008-09-11 21:00:00,1.39974,1.42326,1.39734,1.4226
2008-09-12 21:00:00,1.42285,1.42285,1.42285,1.42285
2008-09-13 21:00:00,1.42635,1.43481,1.42555,1.43475
2008-09-14 21:00:00,1.43445,1.44808,1.40852,1.42424
